user_index,raisedhands,VisITedResources,AnnouncementsView,Discussion,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,churn_score
130,7,9,5,30,F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,No,Bad,Above-7,1.0
349,15,4,12,7,M,Lybia,Lybia,lowerlevel,G-02,B,French,S,Mum,No,Good,Above-7,1.0
12,5,1,0,11,M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,No,Bad,Above-7,1.0
2,10,7,0,30,M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,No,Bad,Above-7,1.0
348,20,3,9,3,M,Lybia,Lybia,lowerlevel,G-02,B,French,F,Mum,No,Good,Above-7,0.99
85,1,0,1,12,M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,No,Bad,Above-7,0.99
335,15,7,12,7,M,Lybia,Lybia,lowerlevel,G-02,A,French,S,Mum,No,Good,Above-7,0.99
78,13,3,11,9,M,KW,KuwaIT,HighSchool,G-11,A,Quran,F,Father,No,Bad,Above-7,0.99
81,8,25,1,70,M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,No,Bad,Above-7,0.99
204,29,10,12,24,M,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Father,No,Bad,Above-7,0.99
144,10,10,15,19,M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,No,Bad,Above-7,0.99
103,1,7,6,10,M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,No,Bad,Above-7,0.98
327,30,10,20,5,M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,No,Bad,Above-7,0.98
102,2,6,2,8,F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,No,Bad,Above-7,0.98
112,2,5,3,50,M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,No,Bad,Above-7,0.98
323,30,10,20,5,M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,No,Bad,Above-7,0.98
23,2,0,2,50,M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,No,Bad,Above-7,0.98
429,11,2,9,49,M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,S,Father,No,Bad,Above-7,0.98
428,10,0,2,41,M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,F,Father,No,Bad,Above-7,0.98
469,9,6,15,85,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,No,Bad,Above-7,0.98
475,5,4,5,8,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,No,Bad,Above-7,0.98
34,12,11,8,40,M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Father,No,Bad,Above-7,0.97
373,5,9,19,98,F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,No,Bad,Above-7,0.97
351,7,9,11,10,M,Egypt,Egypt,lowerlevel,G-02,B,French,S,Mum,No,Good,Above-7,0.97
114,11,2,0,50,M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,No,Bad,Above-7,0.97
235,12,8,18,26,M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,No,Bad,Above-7,0.97
350,5,13,6,6,M,Egypt,Egypt,lowerlevel,G-02,B,French,F,Mum,No,Good,Above-7,0.97
3,30,25,5,35,M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,No,Bad,Above-7,0.97
229,5,17,21,10,M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,No,Bad,Above-7,0.97
326,10,15,10,21,M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,No,Bad,Above-7,0.96
388,4,10,11,7,M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,F,Mum,No,Good,Above-7,0.96
389,5,0,1,8,M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,S,Mum,No,Good,Above-7,0.96
474,2,7,4,8,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,No,Bad,Above-7,0.96
27,25,15,12,33,M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,No,Bad,Above-7,0.96
334,10,8,9,3,M,Lybia,Lybia,lowerlevel,G-02,A,French,F,Mum,No,Good,Above-7,0.96
322,10,15,10,21,M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,No,Bad,Above-7,0.96
90,4,8,10,60,M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,Yes,Good,Above-7,0.96
260,10,17,12,14,M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,No,Bad,Above-7,0.96
242,22,20,18,6,M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,No,Bad,Above-7,0.95
121,0,4,8,30,M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,No,Bad,Above-7,0.95
381,10,12,29,93,F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,No,Bad,Above-7,0.95
64,0,5,7,2,M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,No,Bad,Above-7,0.95
13,20,14,12,19,M,lebanon,lebanon,MiddleSchool,G-08,A,Math,F,Father,No,Bad,Above-7,0.95
468,15,9,14,80,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,No,Bad,Above-7,0.95
24,0,2,3,70,M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,Yes,Good,Above-7,0.94
406,2,9,10,1,M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,No,Bad,Above-7,0.94
414,10,9,2,1,F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,F,Mum,No,Good,Above-7,0.94
374,10,10,40,51,M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,No,Bad,Above-7,0.94
33,8,22,9,40,M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,No,Bad,Above-7,0.94
301,22,34,15,9,M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,No,Bad,Above-7,0.94
